ƒŒÀ∆Õ€…;¡€“‹;3;0;0;1;2;0;0;0;0;1;1;0;0;0;0;1;1;2;1;0;1;0;0;1;0;0;0;1;1;2;0;1;1;1;0;0;2;2;3;0;4;1;0;0;0;0;0;1;0;1;0;0;0;2;1;0;1;0;0;0;1;1;0;3;0;2;0;0;0;3;0;0;1;1;0;1;0;0;0;0;0;0;1;1;2;1;1;1;0;0;0;1;3;0;1;2;1;0;1;0;0;
¬»ƒ≈“‹;ﬂ;1;11;8;23;17;6;5;17;9;12;25;17;8;17;1;1;1;11;15;10;18;20;17;13;10;8;16;27;6;11;19;2;8;13;12;11;17;9;2;4;8;11;10;0;6;12;17;11;11;8;9;14;12;11;18;14;4;12;9;8;13;5;4;13;1;5;0;13;15;20;7;12;11;4;10;27;29;2;4;0;2;14;9;13;14;11;10;15;3;17;3;2;9;8;3;13;11;8;11;6;29;
ﬂ;–” ¿;0;3;8;15;49;0;12;39;21;24;34;23;28;22;1;13;13;25;25;16;30;14;28;1;12;18;32;9;17;22;21;15;3;47;3;2;10;31;1;3;24;32;20;3;18;18;24;66;21;3;24;6;29;32;32;15;32;13;13;14;37;4;16;26;17;6;0;8;19;28;24;9;48;13;51;4;4;16;11;0;1;16;26;25;28;2;29;73;0;27;30;1;7;6;32;55;5;11;18;10;38;
¡¿Õ¿Õ;-1;-1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;
œ–»—Õ»“‹—ﬂ;-1;-1;0;22;1;0;0;0;0;0;1;1;0;0;0;0;2;2;0;0;0;0;2;2;0;2;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;11;0;0;0;3;0;0;0;1;0;0;2;
¬»ƒ≈“‹;ﬂ;0;11;6;22;33;7;11;26;28;19;37;16;9;18;2;5;5;19;28;23;13;26;23;17;8;20;8;24;6;14;16;4;8;21;13;21;45;12;2;2;8;21;6;5;16;43;23;14;19;10;11;19;19;20;8;18;17;28;8;15;18;6;4;23;5;10;0;15;20;31;14;17;7;20;20;32;35;7;13;0;1;29;18;7;14;5;9;19;7;32;7;3;13;14;8;24;10;8;21;6;37;
œ¿—“‹;-1;-1;2;0;0;0;1;1;0;2;0;2;1;1;0;1;1;1;0;0;2;3;0;1;0;0;2;0;1;1;0;0;3;1;0;1;1;0;9;1;0;4;0;0;0;8;2;0;1;0;0;6;6;0;0;1;1;0;2;1;2;0;1;3;1;1;4;0;2;0;1;0;1;0;1;0;1;0;1;1;0;1;2;0;0;0;11;6;0;4;1;1;0;1;0;0;1;2;0;3;4;0;
ﬂ;–” ¿;1;7;12;6;54;1;19;37;17;28;38;26;20;18;3;21;21;31;24;20;27;11;19;1;13;17;36;6;14;15;26;21;4;38;6;7;25;30;2;3;18;26;25;1;11;16;20;40;16;4;24;14;21;35;24;10;28;33;15;4;27;11;7;34;19;14;0;13;29;18;22;19;58;22;65;14;19;22;10;0;0;17;11;25;34;1;22;47;1;20;30;0;5;9;37;42;4;16;11;9;20;
ﬂ;ÃÕŒ√Œ;0;8;11;16;13;6;4;26;7;9;22;5;13;17;1;7;7;16;14;12;15;6;10;3;14;15;6;8;8;6;10;5;16;20;18;12;10;6;6;1;5;9;8;2;10;5;19;37;11;4;11;7;22;20;8;5;19;4;17;5;20;2;3;8;9;4;0;19;20;10;12;10;12;8;14;19;13;11;10;0;2;11;15;3;19;0;5;12;2;6;12;1;4;11;6;14;5;9;11;6;6;
À≈ŒÕ“»…;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
¡€“‹;ƒŒÀ∆Õ€…;1;0;1;0;5;1;1;2;1;1;2;2;1;0;1;3;3;0;2;0;1;1;1;2;0;0;2;0;1;0;0;1;1;1;1;0;1;0;4;0;3;1;1;2;0;1;2;0;0;1;0;2;2;2;1;1;1;1;0;0;1;0;0;2;0;0;0;0;0;0;3;2;1;0;0;1;1;1;0;0;0;2;2;1;4;1;1;3;0;7;0;2;1;1;1;0;1;0;0;0;1;
ﬂ;¬«ﬂ“‹;4;0;6;9;4;0;3;13;2;3;3;7;4;7;1;0;0;5;4;13;5;8;3;0;2;4;7;2;1;10;7;4;4;5;0;5;11;2;2;3;3;12;4;1;1;0;5;10;5;6;2;2;8;6;7;2;8;7;7;3;2;1;1;11;5;3;0;2;13;3;7;1;6;6;11;8;10;6;5;0;0;2;3;11;11;1;5;15;1;2;5;1;8;5;13;3;6;4;5;4;8;
Õ‹ﬁœŒ–“;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
œŒÀ”ÕŒ◊‹;-1;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;3;0;0;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;3;0;0;0;0;1;0;0;0;1;0;1;2;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
–Œ;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
